Fixation @ 50% Bodyweight,,,,
,2MT DISTAL,-164.0894,-373.1707,208.3436
,MC DISTAL,-165.4931,-356.8492,212.0802
,MC PROXIMAL,-175.6788,-350.3243,211.9719
,IC PROXIMAL,-177.3915,-363.0125,213.64
,IC DISTAL,-168.9988,-367.0689,211.6802
,2MT 3RD POINT,-142.7747,-369.8552,198.2799
,MC 3RD POINT,-167.5012,-352.5276,211.8177
,IC 3RD POINT,-177.0183,-371.3508,211.0394
50% BW + 1800N,,,,
,2MT PROXIMAL,-160.966,-367.5955,209.7673
,2MT DISTAL,-162.7182,-374.4453,208.0462
,MC DISTAL,-163.7792,-358.4546,211.5253
,MC PROXIMAL,-174.0648,-351.7667,211.4221
,IC PROXIMAL,-175.9689,-364.2914,213.2704
,IC DISTAL,-167.6475,-368.6645,211.4767
,2MT 3RD POINT,-141.5141,-372.1368,198.0106
,MC 3RD POINT,-166.0757,-354.4813,211.7215
,IC 3RD POINT,-175.6563,-372.8121,210.7264
50% BW + 2000N,,,,
,2MT PROXIMAL,-160.9344,-366.5884,209.7105
,2MT DISTAL,-162.5317,-373.6782,207.9961
,MC DISTAL,-164.0882,-357.3855,211.5108
,MC PROXIMAL,-174.2571,-350.7464,211.277
,IC PROXIMAL,-175.7354,-363.6299,212.9989
,IC DISTAL,-167.548,-367.8178,211.3718
,2MT 3RD POINT,-141.0339,-370.7584,197.929
,MC 3RD POINT,-166.0258,-353.3542,211.555
,IC 3RD POINT,-175.3715,-371.9755,210.4247
50% BW + 2200N,,,,
,2MT PROXIMAL,,,
,2MT DISTAL,,,
,MC DISTAL,,,
,MC PROXIMAL,,,
,IC PROXIMAL,,,
,IC DISTAL,,,
,2MT 3RD POINT,,,
,MC 3RD POINT,,,
,IC 3RD POINT,,,
50% BW + 2400N,,,,
,2MT PROXIMAL,,,
,2MT DISTAL,,,
,MC DISTAL,,,
,MC PROXIMAL,,,
,IC PROXIMAL,,,
,IC DISTAL,,,
,2MT 3RD POINT,,,
,MC 3RD POINT,,,
,IC 3RD POINT,,,
50% BW + 2600N,,,,
,2MT PROXIMAL,,,
,2MT DISTAL,,,
,MC DISTAL,,,
,MC PROXIMAL,,,
,IC PROXIMAL,,,
,IC DISTAL,,,
,2MT 3RD POINT,,,
,MC 3RD POINT,,,
,IC 3RD POINT,,,

